140,45,50,red
209,23,23,red
186,17,40,red
176,5,75,red
115,25,24,red
207,16,32,red
255,11,51,red
208,28,31,red
82,6,21,red
253,15,53,red
255,0,8,red
255,0,13,red
160,24,27,red
132,0,0,red
86,0,4,red
148,17,0,red
255,0,0,red
207,16,32,red
243,5,30,red
255,0,29,red
206,0,25,red
128,24,24,red
247,83,85,red
139,29,81,red
113,13,21,red
255,0,74,red
160,0,0,red
173,13,11,red
255,50,43,red
255,32,25,red
255,25,43,red
43,3,9,red
204,22,0,red
115,1,19,red
81,11,10,red
255,1,0,red
255,22,26,red
84,25,23,red
251,17,18,red
205,70,55,red
72,0,8,red
238,67,81,red
218,0,52,red
108,50,58,red
220,0,3,red
139,0,0,red
254,0,0,red
255,0,0,red
232,53,52,red
179,17,24,red
255,19,25,red
165,20,17,red
144,53,41,red
255,40,40,red
178,4,4,red
229,0,6,red
174,32,26,red
255,24,37,red
106,44,43,red
255,30,0,red
255,0,0,red
186,37,30,red
255,31,4,red
248,49,13,red
255,46,48,red
138,24,23,red
255,82,72,red
254,0,2,red
255,14,63,red
90,0,0,red
47,3,10,red
173,24,25,red
211,82,83,red
178,0,18,red
155,29,20,red
160,4,14,red
255,8,0,red
203,39,50,red
144,0,32,red
220,0,127,red
126,0,6,red
187,23,32,red
129,8,19,red
197,31,35,red
255,0,26,red
190,14,9,red
154,0,65,red
255,18,18,red
140,16,7,red
255,0,23,red
148,17,0,red
242,86,101,red
255,0,0,red
167,66,69,red
251,0,0,red
255,58,49,red
197,0,86,red
103,39,39,red
254,0,0,red
235,33,41,red
157,4,67,red
255,242,39,yellow
213,182,10,yellow
239,221,44,yellow
255,254,64,yellow
255,136,50,yellow
255,255,17,yellow
148,93,0,yellow
255,255,20,yellow
216,156,0,yellow
255,255,49,yellow
197,146,7,yellow
255,255,51,yellow
188,165,55,yellow
252,234,4,yellow
221,193,29,yellow
247,224,23,yellow
233,196,6,yellow
255,255,0,yellow
255,152,0,yellow
255,215,12,yellow
196,169,15,yellow
249,217,94,yellow
252,209,22,yellow
255,243,0,yellow
214,163,55,yellow
168,148,0,yellow
189,141,45,yellow
208,144,49,yellow
197,165,45,yellow
141,101,15,yellow
212,183,0,yellow
244,173,0,yellow
216,193,36,yellow
255,209,0,yellow
252,252,93,yellow
255,110,0,yellow
255,240,71,yellow
251,216,0,yellow
240,127,0,yellow
255,188,0,yellow
251,222,76,yellow
227,204,63,yellow
210,193,0,yellow
255,144,0,yellow
241,186,76,yellow
253,220,92,yellow
244,207,48,yellow
255,174,0,yellow
255,228,107,yellow
255,190,0,yellow
255,199,0,yellow
254,194,34,yellow
224,189,1,yellow
225,154,0,yellow
245,203,68,yellow
205,159,0,yellow
254,255,127,yellow
229,161,26,yellow
253,197,58,yellow
177,140,0,yellow
255,215,85,yellow
206,163,56,yellow
227,203,0,yellow
175,161,0,yellow
185,152,123,yellow
205,173,8,yellow
201,164,0,yellow
188,138,62,yellow
255,227,2,yellow
182,136,51,yellow
246,189,1,yellow
252,255,28,yellow
255,230,23,yellow
255,218,122,yellow
255,216,35,yellow
255,218,0,yellow
194,146,25,yellow
230,141,0,yellow
255,214,0,yellow
240,209,59,yellow
255,252,121,yellow
255,220,143,yellow
210,178,59,yellow
169,127,0,yellow
254,242,0,yellow
255,232,126,yellow
255,253,1,yellow
230,177,0,yellow
255,254,122,yellow
37,202,38,green
60,141,13,green
0,129,77,green
86,130,3,green
15,53,32,green
0,255,0,green
32,45,33,green
64,189,85,green
100,165,17,green
33,83,54,green
0,203,66,green
125,194,75,green
16,74,17,green
123,252,1,green
0,92,51,green
125,232,88,green
18,255,3,green
35,67,17,green
42,217,14,green
33,83,54,green
0,96,54,green
0,100,0,green
0,166,82,green
51,184,100,green
0,136,0,green
84,116,69,green
0,107,60,green
112,200,77,green
154,224,109,green
52,193,67,green
25,193,96,green
115,174,45,green
0,236,27,green
97,133,0,green
14,80,24,green
0,128,1,green
84,172,104,green
0,114,37,green
18,39,41,green
76,117,30,green
0,151,54,green
0,177,35,green
47,254,90,green
116,192,96,green
146,211,115,green
77,125,55,green
0,101,54,green
0,128,1,green
102,205,170,green
113,172,0,green
18,58,4,green
83,138,59,green
103,255,78,green
39,181,0,green
0,184,92,green
107,171,177,green
41,96,0,green
8,255,0,green
9,34,30,green
102,255,0,green
162,222,1,green
169,219,0,green
0,120,56,green
138,176,40,green
62,169,67,green
6,91,52,green
44,89,0,green
43,92,29,green
159,217,140,green
67,195,0,green
